merchant_id,ad_id,num_selected_slots,preferred_slot_1,bid_usd_1,preferred_slot_2,bid_usd_2,preferred_slot_3,bid_usd_3,preferred_slot_4,bid_usd_4,preferred_slot_5,bid_usd_5
M005,AD0082z98004d07182025,2,4,36,7,11,,,,,,
M044,AD0083z98109d07132025,4,2,6,8,36,1,51,4,31,,
M043,AD0084z98102d07162025,3,2,46,6,1,7,51,,,,
M017,AD0085z98101d07122025,4,4,51,3,46,5,11,6,21,,
M048,AD0086z98052d07122025,1,6,11,,,,,,,,
M046,AD0087z98109d07162025,1,4,51,,,,,,,,
M031,AD0088z98102d07162025,5,8,46,1,41,7,21,2,11,6,31
M017,AD0089z98005d07152025,5,5,46,2,6,4,6,1,16,6,26
M029,AD0090z98052d07182025,4,5,21,4,36,7,46,3,31,,
M031,AD0091z98102d07182025,3,3,41,1,1,5,16,,,,
M014,AD0092z98101d07172025,4,4,11,7,6,6,16,3,31,,
M009,AD0093z98033d07142025,5,7,41,2,41,5,31,6,21,3,26
M029,AD0094z98005d07132025,5,5,21,1,11,6,31,8,51,2,46
M009,AD0095z98007d07152025,4,1,46,5,41,3,26,8,41,,
M020,AD0096z98115d07132025,5,5,26,7,31,6,41,8,16,3,1
M027,AD0097z98102d07152025,5,6,26,7,1,2,6,5,16,4,16
M012,AD0098z98101d07162025,4,8,41,7,16,2,26,4,1,,
M035,AD0099z98115d07122025,1,4,31,,,,,,,,
M008,AD0100z98109d07162025,3,2,26,4,21,8,1,,,,
M007,AD0101z98052d07182025,3,3,31,4,6,6,51,,,,
M007,AD0102z98052d07182025,5,8,6,3,26,5,16,2,11,1,36
M030,AD0103z98007d07162025,4,3,31,1,6,7,36,4,36,,
M004,AD0104z98109d07152025,3,2,11,1,31,4,51,,,,
M005,AD0105z98102d07172025,5,4,1,8,11,1,46,3,46,2,21
M017,AD0106z98115d07182025,1,4,26,,,,,,,,
M049,AD0107z98007d07152025,1,5,26,,,,,,,,
M028,AD0108z98033d07132025,5,3,41,5,46,4,21,8,41,1,36
M019,AD0109z98052d07172025,3,4,46,6,36,7,11,,,,
M023,AD0110z98005d07142025,3,5,16,1,1,8,16,,,,
M039,AD0111z98005d07172025,3,2,31,6,51,3,31,,,,
M040,AD0112z98102d07162025,4,2,46,3,26,4,46,6,31,,
M023,AD0113z98102d07182025,3,7,21,6,36,3,1,,,,
M024,AD0114z98115d07152025,1,1,21,,,,,,,,
M035,AD0115z98005d07182025,1,2,26,,,,,,,,
M028,AD0116z98033d07152025,3,5,16,1,1,2,6,,,,
M015,AD0117z98102d07122025,3,8,46,1,41,6,41,,,,
M041,AD0118z98102d07122025,3,3,16,1,6,4,6,,,,
M007,AD0119z98052d07162025,4,1,1,2,21,4,31,5,26,,
M036,AD0120z98004d07132025,1,7,21,,,,,,,,
M010,AD0121z98052d07172025,5,3,36,5,46,4,31,1,36,7,36
M041,AD0122z98102d07132025,1,5,6,,,,,,,,
M009,AD0123z98007d07132025,3,8,11,5,16,7,26,,,,
M011,AD0124z98005d07142025,1,2,16,,,,,,,,
M030,AD0125z98109d07122025,3,7,26,1,46,8,51,,,,
M006,AD0126z98101d07162025,2,4,21,3,6,,,,,,
M020,AD0127z98102d07162025,1,2,16,,,,,,,,
M030,AD0128z98004d07182025,2,3,16,2,41,,,,,,
M017,AD0129z98005d07152025,3,8,16,3,11,2,26,,,,
M031,AD0130z98102d07172025,5,3,41,5,26,8,16,7,21,1,36
M041,AD0131z98004d07142025,2,5,31,4,6,,,,,,
M014,AD0132z98101d07122025,3,7,26,1,21,4,21,,,,
M009,AD0133z98033d07182025,1,2,21,,,,,,,,
M049,AD0134z98007d07122025,2,4,1,5,1,,,,,,
M021,AD0135z98008d07122025,3,2,41,3,31,4,51,,,,
M022,AD0136z98007d07172025,5,4,51,1,36,3,31,5,1,8,51
M042,AD0137z98102d07182025,3,4,41,5,51,3,41,,,,
M023,AD0138z98007d07162025,1,1,31,,,,,,,,
M030,AD0139z98007d07172025,5,1,6,4,51,2,26,7,6,5,21
M008,AD0140z98005d07152025,2,4,16,3,36,,,,,,
M044,AD0141z98115d07122025,1,8,26,,,,,,,,
M012,AD0142z98101d07182025,2,4,46,6,21,,,,,,
M012,AD0143z98102d07182025,4,5,31,4,16,7,6,8,31,,
M025,AD0144z98033d07182025,2,8,26,3,16,,,,,,
M047,AD0145z98007d07162025,1,4,21,,,,,,,,
M012,AD0146z98115d07152025,2,4,16,6,21,,,,,,
M040,AD0147z98102d07152025,4,1,6,3,51,6,1,7,21,,
M050,AD0148z98005d07142025,1,7,41,,,,,,,,
M033,AD0149z98052d07172025,3,7,51,1,21,8,6,,,,
M046,AD0150z98005d07162025,2,4,46,3,26,,,,,,
M015,AD0151z98004d07162025,3,1,11,6,46,3,21,,,,
M050,AD0152z98005d07142025,4,2,21,7,21,5,31,8,1,,
M012,AD0153z98101d07122025,5,6,6,4,1,5,1,1,1,8,51
M021,AD0154z98008d07122025,1,8,1,,,,,,,,
M050,AD0155z98008d07162025,1,8,1,,,,,,,,
M013,AD0156z98101d07152025,2,4,26,1,36,,,,,,
M003,AD0157z98109d07122025,3,8,41,4,6,6,31,,,,
M046,AD0158z98109d07182025,1,2,21,,,,,,,,
M026,AD0159z98102d07142025,1,2,1,,,,,,,,
M012,AD0160z98115d07132025,5,4,51,1,16,7,1,3,1,6,21
M011,AD0161z98101d07132025,4,2,26,4,26,7,11,1,46,,
M016,AD0162z98007d07122025,2,7,1,4,41,,,,,,
M046,AD0163z98005d07182025,2,8,1,4,26,,,,,,
M032,AD0164z98004d07172025,2,3,46,2,41,,,,,,
M005,AD0165z98004d07132025,2,8,11,1,36,,,,,,
M044,AD0166z98115d07162025,4,2,11,3,46,5,46,1,46,,
M007,AD0167z98101d07152025,1,7,36,,,,,,,,
M022,AD0168z98115d07142025,5,6,26,1,6,4,31,8,36,2,31
M034,AD0169z98007d07182025,3,8,41,2,6,3,11,,,,
M018,AD0170z98005d07152025,2,7,16,3,31,,,,,,
M026,AD0171z98102d07162025,2,1,46,6,11,,,,,,
M001,AD0172z98052d07172025,3,3,1,6,21,2,11,,,,
M026,AD0173z98102d07162025,2,8,1,6,51,,,,,,
M039,AD0174z98005d07122025,4,1,41,6,46,8,51,5,41,,
M029,AD0175z98052d07142025,1,6,6,,,,,,,,
M030,AD0176z98007d07182025,1,4,16,,,,,,,,
M048,AD0177z98102d07142025,2,7,26,5,31,,,,,,
M047,AD0178z98008d07172025,4,3,51,4,41,7,11,1,6,,
M045,AD0179z98033d07152025,1,3,6,,,,,,,,
M013,AD0180z98101d07152025,1,8,1,,,,,,,,
M002,AD0181z98005d07132025,2,7,46,8,31,,,,,,
M039,AD0182z98005d07132025,3,4,21,2,31,8,26,,,,
M021,AD0183z98101d07122025,2,6,1,1,1,,,,,,
M028,AD0184z98033d07172025,4,2,6,6,51,7,6,4,11,,
M049,AD0185z98007d07132025,2,6,31,1,26,,,,,,
M036,AD0186z98033d07122025,5,7,21,5,16,1,6,6,31,3,6
M003,AD0187z98109d07172025,1,3,11,,,,,,,,
M023,AD0188z98102d07132025,1,6,11,,,,,,,,
M001,AD0189z98052d07172025,1,2,21,,,,,,,,
M035,AD0190z98102d07162025,3,2,16,7,21,5,6,,,,
M037,AD0191z98007d07182025,5,3,51,7,6,2,16,5,26,4,11
M047,AD0192z98004d07172025,2,3,16,2,41,,,,,,
M043,AD0193z98102d07132025,4,8,21,4,1,7,26,1,21,,
M011,AD0194z98101d07182025,4,6,21,3,11,8,36,2,31,,
M018,AD0195z98005d07172025,2,8,21,3,51,,,,,,
M029,AD0196z98115d07152025,1,5,36,,,,,,,,
M006,AD0197z98008d07162025,2,7,1,6,51,,,,,,
M024,AD0198z98115d07122025,3,7,1,3,46,4,31,,,,
M004,AD0199z98005d07152025,3,4,41,2,36,7,51,,,,
M039,AD0200z98005d07152025,5,8,21,4,21,1,21,6,31,7,46
M020,AD0201z98109d07132025,4,3,41,1,16,8,11,4,31,,
M025,AD0202z98109d07152025,3,7,31,5,26,8,6,,,,
M027,AD0203z98102d07162025,1,8,41,,,,,,,,
M034,AD0204z98007d07122025,2,7,11,2,1,,,,,,
M038,AD0205z98102d07152025,5,6,6,2,6,8,1,5,1,4,46
M034,AD0206z98052d07182025,4,7,11,6,41,1,11,8,11,,
M001,AD0207z98052d07122025,1,7,46,,,,,,,,
M010,AD0208z98052d07142025,2,8,11,5,1,,,,,,
M045,AD0209z98115d07172025,2,5,21,7,16,,,,,,
M005,AD0210z98102d07182025,4,5,16,4,11,7,51,3,16,,
M008,AD0211z98109d07172025,4,8,6,4,21,5,6,2,26,,
M014,AD0212z98101d07142025,4,7,11,4,6,2,41,3,46,,
M037,AD0213z98007d07182025,2,4,6,2,11,,,,,,
M047,AD0214z98115d07172025,4,7,36,5,6,2,16,6,41,,
M013,AD0215z98101d07132025,5,5,51,6,1,4,51,1,11,3,51
M048,AD0216z98052d07142025,2,3,36,1,21,,,,,,
M011,AD0217z98101d07152025,3,8,16,5,36,7,6,,,,
M032,AD0218z98115d07132025,3,6,1,2,31,4,21,,,,
M021,AD0219z98101d07182025,1,2,21,,,,,,,,
M024,AD0220z98109d07182025,3,7,31,1,26,5,51,,,,
M035,AD0221z98007d07142025,1,1,36,,,,,,,,
M041,AD0222z98115d07172025,5,6,1,1,6,3,16,5,16,7,6
M024,AD0223z98115d07122025,3,1,16,5,36,6,41,,,,
M047,AD0224z98004d07162025,3,7,6,1,1,8,6,,,,
M037,AD0225z98033d07172025,3,5,6,3,26,4,6,,,,
M023,AD0226z98007d07142025,2,3,6,7,1,,,,,,
M043,AD0227z98102d07142025,3,1,46,7,11,6,51,,,,
M005,AD0228z98004d07172025,5,1,16,3,6,5,21,6,11,7,16
M032,AD0229z98005d07132025,4,8,31,5,41,3,26,1,21,,
M010,AD0230z98052d07152025,3,5,1,6,26,8,46,,,,
M018,AD0231z98005d07172025,4,6,31,3,11,5,26,7,11,,
M035,AD0232z98007d07142025,4,2,21,5,1,4,51,8,26,,
M026,AD0233z98005d07132025,3,8,1,7,31,3,46,,,,
M045,AD0234z98052d07132025,4,7,51,6,6,5,51,8,21,,
M043,AD0235z98102d07132025,1,8,46,,,,,,,,
M006,AD0236z98101d07132025,1,8,21,,,,,,,,
M030,AD0237z98109d07152025,4,4,51,6,31,5,51,7,46,,
M005,AD0238z98004d07122025,3,5,31,1,6,8,16,,,,
M042,AD0239z98052d07142025,1,7,46,,,,,,,,
M041,AD0240z98115d07152025,2,2,16,3,46,,,,,,
M044,AD0241z98109d07142025,4,2,26,5,31,1,36,4,41,,
M008,AD0242z98109d07132025,3,7,6,4,11,3,11,,,,
M001,AD0243z98052d07162025,3,6,26,2,41,8,1,,,,
M011,AD0244z98005d07142025,4,8,31,5,41,1,41,4,36,,
M033,AD0245z98033d07162025,5,7,46,8,36,6,41,1,51,4,26
M021,AD0246z98115d07142025,4,7,26,1,21,6,51,3,41,,
M013,AD0247z98101d07152025,1,8,41,,,,,,,,
M022,AD0248z98004d07122025,4,3,36,8,6,7,36,5,36,,
M017,AD0249z98008d07132025,4,5,1,1,6,2,46,6,6,,
M029,AD0250z98005d07182025,2,1,26,2,36,,,,,,
M022,AD0251z98004d07142025,5,1,21,4,26,7,36,6,46,3,6
M002,AD0252z98109d07182025,4,3,16,5,11,2,36,7,6,,
M031,AD0253z98102d07142025,1,5,16,,,,,,,,
M021,AD0254z98101d07122025,3,4,41,8,36,6,16,,,,
M026,AD0255z98008d07152025,3,8,36,1,16,3,11,,,,
M015,AD0256z98115d07132025,3,6,36,2,36,5,6,,,,
M015,AD0257z98102d07172025,4,5,16,3,1,1,46,7,31,,
M018,AD0258z98005d07162025,2,5,16,7,6,,,,,,
M020,AD0259z98109d07132025,3,2,16,7,41,5,6,,,,
M041,AD0260z98115d07172025,5,6,6,7,26,4,41,3,31,5,31
M011,AD0261z98005d07152025,1,3,26,,,,,,,,
M045,AD0262z98101d07122025,3,3,6,4,6,8,51,,,,
M044,AD0263z98033d07132025,4,6,46,5,1,2,11,3,36,,
M005,AD0264z98005d07172025,3,3,26,5,46,4,21,,,,
M028,AD0265z98033d07142025,3,2,41,7,16,6,1,,,,
M002,AD0266z98109d07152025,1,5,31,,,,,,,,
M021,AD0267z98033d07142025,4,3,21,6,41,2,41,7,41,,
M015,AD0268z98115d07182025,2,3,26,4,21,,,,,,
M040,AD0269z98005d07162025,5,3,16,2,1,7,26,5,46,8,1
M045,AD0270z98115d07122025,5,3,16,2,26,4,21,8,41,5,16
M017,AD0271z98102d07152025,3,5,6,6,46,3,46,,,,
M021,AD0272z98033d07162025,2,3,41,5,6,,,,,,
M030,AD0273z98007d07182025,2,7,51,1,16,,,,,,
M045,AD0274z98033d07152025,2,1,16,6,36,,,,,,
M024,AD0275z98102d07182025,4,1,31,3,1,4,26,5,6,,
M044,AD0276z98007d07182025,4,7,16,1,46,2,41,3,11,,
M022,AD0277z98115d07142025,2,8,36,1,16,,,,,,
M002,AD0278z98101d07122025,5,1,36,5,16,4,11,2,31,6,21
M018,AD0279z98102d07132025,4,5,1,2,21,4,16,8,6,,
M003,AD0280z98102d07172025,1,8,11,,,,,,,,
M026,AD0281z98005d07142025,2,3,6,8,26,,,,,,
M010,AD0282z98052d07152025,3,8,26,4,51,7,11,,,,
M027,AD0283z98101d07142025,5,2,41,5,16,7,11,3,46,8,46
M048,AD0284z98004d07152025,4,1,6,5,36,8,26,2,36,,
M002,AD0285z98033d07122025,1,7,46,,,,,,,,
M025,AD0286z98007d07152025,3,5,36,4,41,8,16,,,,
M032,AD0287z98115d07162025,5,2,1,4,16,6,21,7,11,5,16
M025,AD0288z98033d07172025,5,7,31,6,51,4,41,1,16,2,36
M022,AD0289z98115d07172025,4,5,36,1,36,3,51,6,16,,
M014,AD0290z98102d07152025,3,4,31,8,51,6,16,,,,
M001,AD0291z98052d07142025,4,2,41,5,16,1,16,6,6,,
M031,AD0292z98102d07122025,3,5,51,1,21,6,46,,,,
M008,AD0293z98109d07132025,2,2,51,4,41,,,,,,
M031,AD0294z98102d07152025,5,5,36,3,16,6,31,2,36,1,26
M006,AD0295z98008d07182025,4,3,51,8,31,7,26,6,6,,
M029,AD0296z98008d07182025,4,3,1,6,6,4,11,1,1,,
M043,AD0297z98102d07152025,4,3,16,4,31,5,36,7,51,,
M028,AD0298z98033d07152025,5,8,16,1,6,4,31,5,21,6,41
M037,AD0299z98007d07162025,5,5,36,1,46,8,36,6,21,2,46
M025,AD0300z98004d07132025,3,6,46,8,1,7,1,,,,
